Name of hospital or clinic,Hospital rate,Location_Lat,Location_Lon,State,Number of Doctors,Number of patients in 2020,Number of patients in 2021,Number of patients in 2022,Number of patients in 2023,Number of patients in 2024,Number of patients in 2025,Types of treatment it contains,total cost of the hospital in 2020 (million AED),total cost of the hospital in 2021 (million AED),total cost of the hospital in 2022 (million AED),total cost of the hospital in 2023 (million AED),total cost of the hospital in 2024 (million AED),total cost of the hospital in 2025 (million AED),total income of the hospital in 2020 (million AED),total income of the hospital in 2021 (million AED),total income of the hospital in 2022 (million AED),total income of the hospital in 2023 (million AED),total income of the hospital in 2024 (million AED),total income of the hospital in 2025 (million AED),total number of surgeries in 2020,total number of surgeries in 2021,total number of surgeries in 2022,total number of surgeries in 2023,total number of surgeries in 2024,total number of surgeries in 2025,number of customers make reviews for the hospital,number of reviews,positive reviews,negative reviews,most repeated keywords for the hospital in positive reviews,most repeated keywords for the hospital in negative reviews
Al Mustashfa Afia Specialist Hospital,Good,25.385974,55.471723,Ajman,147,78203,73682,71794,74927,73627,78647,"Pediatrics; Radiology; Internal Medicine; Ophthalmology (Eye care); Pathology and Laboratory Services; Gastroenterology (Digestive system); Oncology (Cancer treatment); Dermatology; Ear, Nose, and Throat (ENT) / Otolaryngology; Emergency Medicine; Dental and Oral Surgery; Physiotherapy and Rehabilitation; Pulmonology (Respiratory care); Infectious Diseases; Endocrinology (Hormonal disorders)",169.64,176.01,192.17,191.55,205.1,211.14,209.12,207.22,269.15,202.65,231.21,269.2,3725,3269,3135,3508,3320,3195,727,61068,46411,14657,Accurate diagnosis; Thorough; Good communication; Excellent,Long wait
Hayat Amal Hilal,Good,23.067513,53.34076,Abu Dhabi,881,18517,19709,18332,16903,17289,18227,Pulmonology (Respiratory care); Emergency Medicine; Radiology; Physiotherapy and Rehabilitation; Pathology and Laboratory Services,132.69,127.08,130.77,136.67,148.59,161.4,135.24,169.01,148.86,168.41,164.38,156.72,1212,1145,1102,1316,1608,1801,274,22194,13996,8198,Friendly; Trustworthy; Advanced equipment,Ignored; Lack of privacy; Chaotic; Poor hygiene; Long wait
Wahat Ilaj Emirates,Good,25.432131,55.526206,Ajman,852,35640,34985,33122,37196,37066,37059,Pediatrics; Orthopedics; Intensive Care Unit (ICU); Ophthalmology (Eye care); Nephrology (Kidney care); Obstetrics and Gynecology (OB/GYN); Gastroenterology (Digestive system); Infectious Diseases; Cardiology; Emergency Medicine,21.68,22.12,23.66,23.02,24.27,23.45,26.63,27.69,26.99,26.14,28.85,29.91,41,38,40,42,42,43,933,67176,31531,35645,Supportive; Seamless process; Prompt attention,Slow
Al Afia Clinic,Very Bad,25.240284,55.710062,Sharjah,797,75859,72472,72875,81871,89388,82336,Radiology; Pediatrics; Internal Medicine; Pulmonology (Respiratory care); Intensive Care Unit (ICU); Nephrology (Kidney care); Gastroenterology (Digestive system); Infectious Diseases; Orthopedics; Dermatology,118.69,128,127.28,123.61,132.96,127.09,170.85,125.02,117.22,173.86,113.87,129.08,139,132,112,121,120,116,21,1743,1096,647,Accurate diagnosis,Overpriced; Cold attitude; Noisy; Unprofessional; Frustrating
Shifa Diagnostic Center,Very Good,25.429731,55.531176,Ajman,572,34883,31428,29790,30285,31871,33565,"Ear, Nose, and Throat (ENT) / Otolaryngology; General Surgery; Radiology; Nephrology (Kidney care); Pediatrics; Infectious Diseases; Urology; Intensive Care Unit (ICU)",18.52,18.57,18.27,17.53,18.59,19.78,23.52,26.36,15.69,23.89,15.37,27.18,104,128,134,140,134,128,636,60420,48276,12144,Positive experience; Seamless process; Organized,Noisy
Afia Khaleej Lil Tibb,Good,25.251061,56.173036,Fujairah,906,62411,61864,56837,52653,59940,65572,"Urology; Ear, Nose, and Throat (ENT) / Otolaryngology; Cardiology; Psychiatry and Mental Health; Dental and Oral Surgery; General Surgery; Pediatrics; Emergency Medicine; Nephrology (Kidney care); Endocrinology (Hormonal disorders); Pathology and Laboratory Services",92.35,91.88,92.37,100.67,99.61,107.35,85.15,96.53,113.17,104.07,122.99,125.35,3758,3540,3698,4130,4501,4062,995,81590,57158,24432,Attentive; Fast service; Timely care; Caring; Knowledgeable,Inconsiderate
Al Markaz Amal Polyclinic,Bad,25.573639,55.791708,Umm Al Quwain,319,65625,66682,73107,81615,82911,90698,Nephrology (Kidney care); Anesthesiology; Cardiology; Internal Medicine; Orthopedics; Emergency Medicine; Endocrinology (Hormonal disorders); Urology; Pulmonology (Respiratory care); Dermatology; Pathology and Laboratory Services; Intensive Care Unit (ICU); Infectious Diseases,99.89,109.44,111.22,111.03,106.21,108.34,130.75,153.99,113.67,148.86,150.91,137.04,3313,3019,2651,2725,3397,3925,867,17340,8171,9169,Modern,Poor hygiene; Noisy; Long wait; Negligent
Family Center Community,Very Good,25.458166,55.578048,Umm Al Quwain,751,55903,57242,62328,57793,60517,69549,Dermatology; Urology; Anesthesiology; Emergency Medicine; Orthopedics; Physiotherapy and Rehabilitation; Dental and Oral Surgery; Cardiology,65.99,66.13,71.92,74.14,73.38,72.54,62.16,54,84.28,90.83,89.65,74.68,2483,2240,2220,2242,2245,2195,788,60676,31162,29514,Skilled; Clean environment; No delays; Satisfied; Comforting,Disorganized; Disrespectful; Overcrowded; Overpriced; Long wait
Saada Clinic,Good,25.462049,55.506826,Sharjah,175,7235,7464,8404,8288,8688,7852,General Surgery; Ophthalmology (Eye care); Endocrinology (Hormonal disorders); Neurology; Pulmonology (Respiratory care); Emergency Medicine; Oncology (Cancer treatment); Urology; Intensive Care Unit (ICU); Gastroenterology (Digestive system); Infectious Diseases; Dental and Oral Surgery; Orthopedics; Dermatology; Cardiology,176.55,168.78,179.38,194.49,213.01,226.97,189.53,234.1,147.01,269.82,192.68,272.59,25,27,28,33,40,40,52,5096,3196,1900,Accurate diagnosis; Gentle,Negligent; No communication; Arrogant; Slow
Al Hikma Emirates,Bad,25.041506,56.156784,Fujairah,254,95636,107698,112608,114349,104798,100943,"Gastroenterology (Digestive system); Infectious Diseases; Internal Medicine; Obstetrics and Gynecology (OB/GYN); Ear, Nose, and Throat (ENT) / Otolaryngology; Neurology; Pediatrics; Urology; Orthopedics; Anesthesiology; Dermatology; Oncology (Cancer treatment); Intensive Care Unit (ICU); Pathology and Laboratory Services",91.99,93.52,89.66,98.12,98.4,97.74,126.22,98.62,100.8,106.35,130.66,96.15,2342,2894,2899,2979,3402,3231,580,29000,13303,15697,Good communication; Knowledgeable; Kind; Reassuring,Cold attitude; Indifferent; Crowded; Painful
Dar Amal Medical Center,Very Bad,25.168573,55.818915,Sharjah,769,39650,40842,44082,40253,43881,46825,Psychiatry and Mental Health; Neurology; Nephrology (Kidney care); Orthopedics; Urology; Pulmonology (Respiratory care); Endocrinology (Hormonal disorders); Cardiology,169.7,179.35,179.96,174.92,171.45,184.41,140.25,156.24,251.44,255.95,230.49,173.12,316,368,458,427,407,494,618,33372,12238,21134,Personalized care,Arrogant; Negligent
Ein Amal Arabi,Very Good,25.384861,55.526372,Ajman,491,29733,29632,31848,36423,40222,43988,Pathology and Laboratory Services; Infectious Diseases; General Surgery; Ophthalmology (Eye care); Physiotherapy and Rehabilitation; Orthopedics,190.02,189.41,192.15,201.17,215.45,216.57,211.46,230.57,270.45,199.7,198.16,251.8,3617,4092,3929,3720,3435,3494,674,13480,8355,5125,Respectful; Painless; Organized; Great staff,Long wait
Dar Noor,Good,24.9691,55.186553,Dubai,434,98196,107990,122952,133500,150514,140884,Cardiology; Pathology and Laboratory Services; Physiotherapy and Rehabilitation; Pediatrics; Ophthalmology (Eye care); Urology,143.34,157.2,163.45,175.81,193.06,186.31,188.2,137.74,180.9,150.66,246.42,194.2,578,615,676,677,731,827,822,75624,45947,29677,Patient; Knowledgeable; Courteous; Clean; Timely care,Slow
Al Afia Dowaly International,Bad,25.369446,55.434492,Ajman,595,23416,25253,24523,25987,23763,25282,"Gastroenterology (Digestive system); Pulmonology (Respiratory care); Internal Medicine; Pathology and Laboratory Services; Pediatrics; Psychiatry and Mental Health; Physiotherapy and Rehabilitation; Neurology; Orthopedics; Cardiology; Ear, Nose, and Throat (ENT) / Otolaryngology; General Surgery; Dermatology; Oncology (Cancer treatment); Intensive Care Unit (ICU)",67.64,70.25,68.52,68.35,75.18,81.96,70.83,98.23,75.69,62.28,77.92,83.52,2425,2280,2403,2507,3110,3389,7,686,288,398,,Unavailable doctors; Dirty; Overcrowded
Al Burj Amal,Acceptable,24.902151,55.29761,Dubai,464,71986,72137,82012,84865,92622,90724,General Surgery; Pathology and Laboratory Services; Neurology; Psychiatry and Mental Health; Physiotherapy and Rehabilitation; Dermatology; Oncology (Cancer treatment); Internal Medicine; Obstetrics and Gynecology (OB/GYN); Endocrinology (Hormonal disorders),24.79,23.86,26.14,28.7,28.88,30.4,24.49,20.14,25.91,27.41,40.78,31.58,1903,1779,1543,1343,1614,1461,656,34112,20165,13947,Seamless process; Kind; Compassionate; Painless; Fast service,Overcrowded; Unprofessional; Confusing
Dar Hayat Hilal,Bad,25.553776,55.75937,Umm Al Quwain,169,65770,61536,68507,77266,73370,69639,"Orthopedics; Ear, Nose, and Throat (ENT) / Otolaryngology; Dental and Oral Surgery; General Surgery; Internal Medicine; Intensive Care Unit (ICU); Radiology; Pathology and Laboratory Services",61.65,62.01,66.85,67.77,64.96,62.96,66.88,50.65,72.45,56.89,71.19,54.29,2239,2646,3102,2723,3359,3518,492,28044,16345,11699,Well-managed,Cold attitude; Lack of care; Inconsiderate; Lack of privacy
Ein Afia Clinic,Very Good,24.855562,55.45434,Dubai,50,7913,7894,8366,8219,8783,9911,Pulmonology (Respiratory care); Pathology and Laboratory Services; Psychiatry and Mental Health; Ophthalmology (Eye care); Endocrinology (Hormonal disorders); Nephrology (Kidney care); Gastroenterology (Digestive system); Emergency Medicine; Cardiology; Dermatology; General Surgery,162.72,172.65,183.94,197.66,189.88,184.43,198.57,174.59,202.86,201.66,272.51,168.85,138,140,160,195,222,270,491,40262,10761,29501,Great staff; Positive experience; Painless; Prompt attention; Patient,Crowded
Al Dar Shifa Clinic,Acceptable,23.398587,54.666141,Abu Dhabi,993,58530,57208,59738,55930,54985,60293,Obstetrics and Gynecology (OB/GYN); Pediatrics; Oncology (Cancer treatment); Endocrinology (Hormonal disorders); Infectious Diseases; Radiology; General Surgery,60.68,61.95,61.21,60.39,58.95,63.53,90.6,51.71,63.55,52.42,85.4,87.91,3389,4171,4396,5416,6477,6820,665,51205,17245,33960,Helpful; Positive experience; Skilled; Excellent; Painless,Slow; Hidden charges
Al Ilaj Polyclinic,Very Bad,25.138806,56.159993,Fujairah,839,5153,5006,4509,4902,5394,5608,"Neurology; Ear, Nose, and Throat (ENT) / Otolaryngology; Internal Medicine; General Surgery; Emergency Medicine; Dental and Oral Surgery; Ophthalmology (Eye care); Obstetrics and Gynecology (OB/GYN); Infectious Diseases; Pulmonology (Respiratory care); Nephrology (Kidney care); Cardiology; Intensive Care Unit (ICU)",172.65,181.37,173.2,174.18,173.72,189.27,255.25,185.66,204.43,160.6,163.63,205.6,122,139,146,182,178,198,220,11660,8758,2902,Recommended,Dirty; Delayed treatment; Hidden charges; Frustrating
Al Noor Dowaly International,Good,25.484484,55.511011,Umm Al Quwain,197,66288,75789,86705,96959,98812,103436,"Orthopedics; Dental and Oral Surgery; Neurology; Ear, Nose, and Throat (ENT) / Otolaryngology; Psychiatry and Mental Health",169.1,178.26,171.63,176.03,184.03,202.14,189.28,171.55,157.61,250.86,153.87,188.97,4647,5090,4814,5942,6145,5591,552,23184,9996,13188,Prompt attention; Quick response,Ignored
Ilaj Specialist Hospital,Very Good,25.59476,56.04056,Ras Al Khaimah,833,45142,46017,50126,48135,47180,50303,Radiology; Neurology; Emergency Medicine; Anesthesiology; Endocrinology (Hormonal disorders); Nephrology (Kidney care); Psychiatry and Mental Health; Pulmonology (Respiratory care),138.99,134.53,135.24,146.12,148.61,143.27,147.82,159.81,173.69,157.04,141.18,173.48,1807,2185,2090,2089,2062,2526,824,80752,60862,19890,Reassuring; Fast service; Recommended; Human touch; Respectful,Untrustworthy
Al Salam Dowaly Al Sihi,Very Bad,25.210994,55.266033,Dubai,303,83583,91321,91603,91209,104343,98721,"Radiology; General Surgery; Pathology and Laboratory Services; Pulmonology (Respiratory care); Dermatology; Pediatrics; Urology; Nephrology (Kidney care); Anesthesiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Dental and Oral Surgery; Internal Medicine; Endocrinology (Hormonal disorders)",104.65,101.31,98.07,101.17,102.68,99.46,153.29,133.24,115.39,104.89,135.99,144.3,15,18,20,19,16,13,848,60208,39838,20370,Trustworthy,Slow; Confusing; Misdiagnosis
Wahat Saada Dowaly,Bad,25.436411,55.530865,Ajman,186,47692,44759,46803,45597,51379,50437,General Surgery; Neurology; Dermatology; Anesthesiology; Intensive Care Unit (ICU); Endocrinology (Hormonal disorders),190.66,186.14,196.88,212.23,221.19,240.72,226.27,166.31,185.68,289.47,238.09,293.94,1819,1828,1756,1932,1823,1554,574,38458,21017,17441,Professional,Negligent; Arrogant
Al Dar Hikma,Good,25.357923,55.449707,Ajman,532,6972,6660,7288,8018,7667,6949,Neurology; Intensive Care Unit (ICU); Urology; Radiology; Cardiology; Endocrinology (Hormonal disorders),67.11,66.48,63.38,64.1,65.87,66.29,96.38,79.24,86.5,81.79,95.86,97,297,349,302,314,338,359,567,11340,5234,6106,Painless; Reassuring,Disorganized; Misdiagnosis; Lack of privacy; Not responsive
Ilaj Medical Center,Good,25.493425,56.330602,Fujairah,695,44839,51294,58271,59758,64974,64089,"Radiology; Psychiatry and Mental Health; Emergency Medicine; Neurology; Physiotherapy and Rehabilitation; Ear, Nose, and Throat (ENT) / Otolaryngology; Gastroenterology (Digestive system); Pulmonology (Respiratory care); Internal Medicine",196.67,201.21,205.51,224.78,229.53,233.59,195.49,274.45,191.96,256.29,315.53,214.34,4172,4780,5218,5095,5846,5026,822,31236,13241,17995,Comforting; Timely care,Noisy; Miscommunication; Slow
Ilaj Takhassusi International,Very Good,25.233787,55.449342,Dubai,592,80717,76450,79326,85339,78557,77922,Oncology (Cancer treatment); Intensive Care Unit (ICU); Gastroenterology (Digestive system); Neurology; Infectious Diseases,66.79,67.01,63.93,63.56,60.94,63.77,58.82,79.24,54.84,89.32,66.73,62.56,2237,1927,2161,2494,2716,3379,193,10229,3454,6775,Fast service; Good communication; Respect; Professionalism,Mismanaged
Al Hayat Noor Polyclinic,Very Good,25.386159,55.43913,Ajman,622,10318,10261,9630,10959,11264,10639,"Oncology (Cancer treatment); Obstetrics and Gynecology (OB/GYN); Ophthalmology (Eye care); Orthopedics; Emergency Medicine; Physiotherapy and Rehabilitation; Ear, Nose, and Throat (ENT) / Otolaryngology",58.18,57.87,63.3,63.34,60.47,64.58,60.68,57.44,87.66,87.4,83.93,56.28,191,195,205,250,300,362,218,20056,8784,11272,Compassionate; Respectful; Respect; Recommended; Trustworthy,Unavailable doctors
Al Ein Amal,Good,25.146598,55.513409,Sharjah,100,4335,4938,4847,4636,4732,4600,Psychiatry and Mental Health; Gastroenterology (Digestive system); Nephrology (Kidney care); Dental and Oral Surgery; Dermatology,184.56,180.74,181.39,185.71,196.37,189.18,269.95,237.6,240.64,242.74,167.83,273.25,380,454,510,561,490,437,841,68121,53958,14163,Professionalism; Personalized care,Chaotic
Wahat Shifa Polyclinic,Acceptable,25.046169,55.262689,Dubai,132,87690,80598,86710,84628,89327,102362,Oncology (Cancer treatment); Neurology; Infectious Diseases; Orthopedics; Intensive Care Unit (ICU); Dental and Oral Surgery; Psychiatry and Mental Health; Pulmonology (Respiratory care); Obstetrics and Gynecology (OB/GYN); Emergency Medicine; Pediatrics,66.18,68.59,73.33,74.81,77.67,75.56,83.74,62.83,60.43,100.59,100.27,63.66,4533,5275,4610,5265,4582,4783,508,35052,16221,18831,Respectful; Painless,Crowded; Billing issues; Unsafe; Dirty toilets; Chaotic
Al Markaz Hayat Diagnostic Center,Bad,25.327613,56.315654,Fujairah,113,35962,33198,37243,34203,35015,34602,"Nephrology (Kidney care); General Surgery; Obstetrics and Gynecology (OB/GYN); Anesthesiology; Pediatrics; Infectious Diseases; Ear, Nose, and Throat (ENT) / Otolaryngology; Urology; Internal Medicine; Cardiology; Dental and Oral Surgery",54.19,55.33,54.24,53.49,56.33,56.62,70.15,80.96,71.88,64.12,83.46,51.58,1846,1999,1863,2280,1978,2076,797,71730,56381,15349,Helpful; Patient; Accurate diagnosis; Recommended,Confusing; Long wait; No explanation; Noisy; Untrustworthy
Ilaj Specialist Hospital,Acceptable,25.507028,55.643934,Umm Al Quwain,877,22251,22691,25182,27601,25282,28967,"Nephrology (Kidney care); General Surgery; Anesthesiology; Neurology; Emergency Medicine; Ear, Nose, and Throat (ENT) / Otolaryngology; Physiotherapy and Rehabilitation; Pathology and Laboratory Services; Internal Medicine; Pulmonology (Respiratory care)",116.47,114.12,119.75,120.9,116.72,114.18,121.17,125.56,163.26,127.9,163.62,150.08,1588,1493,1431,1673,1589,1966,76,532,135,397,Accurate diagnosis; Great staff; Gentle; Prompt attention; Clean,Delayed treatment; Understaffed
Al Dar Hikma Polyclinic,Very Good,25.252042,55.385162,Sharjah,966,74933,76804,73899,81886,80888,90880,Dermatology; Pediatrics; Urology; Psychiatry and Mental Health; Pulmonology (Respiratory care),123.1,133.09,146.32,154.12,159.52,173.62,180.25,183.45,140.73,130.75,191.98,167.48,1906,1880,2281,2764,2587,3101,33,1188,375,813,Clean environment; Seamless process; Gentle,Poor follow-up; Inconsiderate
Noor Salam Diagnostic Center,Acceptable,25.405038,55.813191,Sharjah,384,37169,40624,40039,42055,46347,45709,"Ear, Nose, and Throat (ENT) / Otolaryngology; Intensive Care Unit (ICU); Pediatrics; Pathology and Laboratory Services; Anesthesiology",133.22,136.23,134.94,137.85,149.61,150.01,150.92,185.62,152.18,173.39,153.79,190.73,3542,3030,3194,3470,3308,4118,345,14490,4455,10035,Well-managed; Quick response; Kind,Ignored; Not recommended
Al Hayat Rahma Polyclinic,Very Bad,25.846333,55.987963,Ras Al Khaimah,558,77160,82648,82738,84494,91744,99277,Obstetrics and Gynecology (OB/GYN); Endocrinology (Hormonal disorders); Pulmonology (Respiratory care); Urology; Infectious Diseases; Anesthesiology; Dermatology; General Surgery; Radiology; Pathology and Laboratory Services; Gastroenterology (Digestive system); Cardiology; Neurology,170.3,176.83,169.93,171.91,188.5,183.83,155.59,186.84,163.99,181.12,180.12,169.4,2593,2583,2298,2066,2241,2316,87,3654,1297,2357,Satisfied,Ignored; Lack of privacy
Al Hikma Specialist Hospital,Bad,25.454719,55.711292,Umm Al Quwain,428,20683,19140,18422,19564,20450,19262,Emergency Medicine; Pathology and Laboratory Services; Cardiology; Physiotherapy and Rehabilitation; Nephrology (Kidney care); Pulmonology (Respiratory care); Gastroenterology (Digestive system); Neurology,171.69,176.59,178.16,174.87,176.47,185.91,251.16,150.24,156.4,185.36,205.9,189.79,312,383,384,356,310,324,937,58094,14791,43303,Well-managed,Poor follow-up; Ignored; Unsafe
Al Amal Clinic,Bad,25.299692,55.461237,Dubai,477,94481,107367,101991,95237,101470,91979,Radiology; Oncology (Cancer treatment); Psychiatry and Mental Health; General Surgery; Urology; Dental and Oral Surgery; Cardiology,20.64,20.14,20.24,20.94,20.07,22.06,22.6,17.2,25.28,20.94,25.42,19.08,4327,3697,4139,3541,3800,4529,79,2449,1806,643,Timely care,Painful; Cold attitude; Inconsiderate
Amal Clinic,Acceptable,23.756269,53.046977,Abu Dhabi,814,74028,69080,73685,74430,81274,88305,Pathology and Laboratory Services; Nephrology (Kidney care); Ophthalmology (Eye care); Orthopedics; Neurology; Gastroenterology (Digestive system); Oncology (Cancer treatment),46.56,50.96,49.83,53.96,58.8,59.35,65.7,62.36,56.41,43.87,64.85,77.29,2357,2626,2741,2832,3412,3439,544,14688,3595,11093,Excellent; Efficient,Not responsive; Incompetent; Poor follow-up; Outdated equipment
Al Burj Afia,Bad,23.502899,54.647085,Abu Dhabi,677,45704,43643,45289,43211,44483,44847,Physiotherapy and Rehabilitation; Gastroenterology (Digestive system); Urology; Cardiology; Dermatology; Neurology; Endocrinology (Hormonal disorders); Nephrology (Kidney care); Pathology and Laboratory Services; Psychiatry and Mental Health,147.31,152.45,154.77,162.8,178.75,175.83,217.69,197.58,209.86,134.04,263.21,245.11,2071,2179,2016,1962,2230,2546,587,32872,24621,8251,Thorough,No empathy; Lack of care
Noor Salam,Good,23.790586,53.437297,Abu Dhabi,268,80006,88349,101093,94681,101781,96727,"Neurology; Dental and Oral Surgery; Endocrinology (Hormonal disorders); Ear, Nose, and Throat (ENT) / Otolaryngology; Nephrology (Kidney care); Radiology; Obstetrics and Gynecology (OB/GYN); Physiotherapy and Rehabilitation; Cardiology; Emergency Medicine; Oncology (Cancer treatment); Anesthesiology; Intensive Care Unit (ICU)",10.05,10.71,11.22,11.84,12.88,13.75,11.74,11.92,15.87,12.98,10.42,14.59,625,553,690,613,576,569,761,31962,8807,23155,Fast service; Kind; Reassuring; Caring,Rude
Al Dar Noor,Good,25.086898,56.309341,Fujairah,528,52618,48155,50268,52405,47202,49237,"Urology; Infectious Diseases; Emergency Medicine; Ophthalmology (Eye care); Endocrinology (Hormonal disorders); Anesthesiology; Pediatrics; Intensive Care Unit (ICU); Ear, Nose, and Throat (ENT) / Otolaryngology; Psychiatry and Mental Health; Dermatology; Internal Medicine",154.27,149.99,150.58,148.83,144.18,141.35,156.87,147.03,155.23,160,215.18,195.84,2078,1847,2100,2174,2164,2452,891,4455,1407,3048,Prompt attention; Positive experience; Skilled,Disorganized; Disrespectful; Dirty toilets
Al Mustashfa Amal Specialist Hospital,Very Bad,25.095001,56.218885,Fujairah,472,29293,32208,34069,36981,42205,47344,Pathology and Laboratory Services; Internal Medicine; Neurology; Pulmonology (Respiratory care); Oncology (Cancer treatment),186.61,189.59,205.77,213.5,210.53,227.8,266.7,265.58,168.82,301.03,265.51,222.46,2278,2685,2961,3539,3780,3333,757,69644,32604,37040,Well-equipped,Unavailable doctors; Understaffed; Indifferent
Al Markaz Afia,Very Good,23.409853,52.171874,Abu Dhabi,301,13265,14505,13173,12089,13634,13766,Pathology and Laboratory Services; Dental and Oral Surgery; Urology; Nephrology (Kidney care); Ophthalmology (Eye care); Orthopedics; Dermatology; Infectious Diseases; Internal Medicine; Radiology,17.52,18.65,18.52,20.25,21.38,22.59,21.29,19.52,25.56,23.56,19.72,18.77,934,924,1061,1144,1034,1094,823,69955,26583,43372,Safe; Respectful; Seamless process; Professionalism; Organized,Lack of care; Billing issues; Delayed treatment
Dental Clinic Community,Good,25.103457,56.213614,Fujairah,213,85045,85443,96980,110063,125425,141490,Internal Medicine; Nephrology (Kidney care); Radiology; Oncology (Cancer treatment); Obstetrics and Gynecology (OB/GYN),71.96,73.61,80.96,80.32,84.13,82.42,105.85,83.91,110.99,94.53,82.54,83.68,1623,1770,2134,2590,2932,3221,780,60060,36498,23562,Modern; Courteous; Thorough,Long wait
Burj Hayat Watani,Bad,25.527359,55.528957,Umm Al Quwain,888,7769,7745,7706,8607,8728,9578,Anesthesiology; Neurology; Ophthalmology (Eye care); Infectious Diseases; Gastroenterology (Digestive system); Urology; Nephrology (Kidney care); Cardiology; Orthopedics,43.16,42.09,45.25,46.76,47.82,48.66,63.92,56.74,60.69,64.54,54.59,41.89,805,950,807,905,942,850,381,18669,9668,9001,Personalized care,Stressed; Billing issues; No communication; Unhygienic
Al Dar Amal Jadeed,Very Good,25.50527,55.581142,Umm Al Quwain,962,65830,66491,61480,62696,63058,67684,Psychiatry and Mental Health; Ophthalmology (Eye care); Oncology (Cancer treatment); Obstetrics and Gynecology (OB/GYN); Physiotherapy and Rehabilitation; Nephrology (Kidney care); Pulmonology (Respiratory care),133.87,127.58,129.59,139.44,145.76,150,166.46,137.48,127.78,117.99,182.98,194.21,1712,1882,1643,1589,1789,1941,336,15456,6145,9311,Compassionate; Prompt attention,Negligent
Al Burj Shifa,Bad,25.560899,55.7853,Umm Al Quwain,761,99989,100235,109262,122140,136462,130827,"Internal Medicine; Infectious Diseases; Ear, Nose, and Throat (ENT) / Otolaryngology; Dental and Oral Surgery; Physiotherapy and Rehabilitation",87.76,87.07,95.55,100.93,104.66,106.31,91.82,88.79,78.57,81.17,136.36,129.52,147,156,193,187,172,155,145,2755,1040,1715,Compassionate,Bad experience; Rude; Dirty toilets; Chaotic; Long wait
Al Mustashfa Shifa Medical Center,Very Bad,25.935776,56.095614,Ras Al Khaimah,682,69941,68415,64695,68369,77524,75959,"Endocrinology (Hormonal disorders); Psychiatry and Mental Health; Ophthalmology (Eye care); Emergency Medicine; Intensive Care Unit (ICU); Urology; Dermatology; Pediatrics; Radiology; Dental and Oral Surgery; Ear, Nose, and Throat (ENT) / Otolaryngology; General Surgery; Pathology and Laboratory Services",4.87,5.21,5.34,5.68,5.59,5.97,7.24,7.1,6.55,4.57,6.15,6.96,2392,2351,2768,2640,3005,3745,158,2686,1483,1203,Professional,Delayed treatment; Miscommunication; Outdated equipment
Ilaj Arabi,Good,25.331677,55.79329,Sharjah,678,42475,46765,53686,61731,67037,71191,Neurology; Dental and Oral Surgery; Physiotherapy and Rehabilitation; Infectious Diseases; Urology; General Surgery; Anesthesiology; Radiology; Endocrinology (Hormonal disorders); Intensive Care Unit (ICU),82.78,80.44,81.74,77.72,76.29,82.99,81.51,95.98,113.54,87.43,111.19,80.43,435,479,414,428,446,492,12,876,404,472,Attentive; Good communication; Satisfied; Calm; Personalized care,Hidden charges
General Care National,Very Good,25.48702,55.577428,Umm Al Quwain,366,71067,65336,59163,64161,68849,69579,Physiotherapy and Rehabilitation; General Surgery; Pediatrics; Gastroenterology (Digestive system); Endocrinology (Hormonal disorders); Internal Medicine; Infectious Diseases; Dermatology; Intensive Care Unit (ICU); Neurology; Dental and Oral Surgery; Urology; Orthopedics,25.99,25.39,25.34,25.2,26.32,28.74,23.89,21.46,37.11,21.58,32.34,36.97,2847,3362,3173,3458,3791,3373,152,5320,3406,1914,Follow-up care; Compassionate; Accurate diagnosis; Seamless process,Rude
Salam Specialist Hospital,Very Bad,25.268662,56.347846,Fujairah,611,14579,14454,14212,14371,15886,16880,General Surgery; Internal Medicine; Pathology and Laboratory Services; Endocrinology (Hormonal disorders); Orthopedics,50.79,50.19,51.43,55.45,56.31,55.79,45.8,75.18,75.66,71.36,50.47,52.58,1634,1873,1704,1547,1480,1641,359,21899,17041,4858,Human touch,No empathy; Unorganized
Al Wahat Saada Takhassusi,Bad,25.927861,56.097623,Ras Al Khaimah,628,87066,94498,93795,96434,102190,106631,"Orthopedics; General Surgery; Ear, Nose, and Throat (ENT) / Otolaryngology; Pediatrics; Intensive Care Unit (ICU); Psychiatry and Mental Health; Gastroenterology (Digestive system); Physiotherapy and Rehabilitation; Obstetrics and Gynecology (OB/GYN); Infectious Diseases",13.81,14.45,14.64,14.28,15.61,17.14,19.76,12.69,20.23,20.28,21.79,16.08,1176,1100,946,843,718,729,750,52500,40576,11924,Skilled,Not responsive; Unprofessional; Hidden charges; Overpriced
Hikma Diagnostic Center,Very Good,25.395818,55.464383,Ajman,23,21740,22480,21362,21824,21627,21216,Nephrology (Kidney care); Urology; Ophthalmology (Eye care); Obstetrics and Gynecology (OB/GYN); General Surgery; Dermatology; Emergency Medicine,114.43,109.12,114.25,122.61,134.8,144.38,131.01,161.25,140.92,108,136,196.58,930,1151,1158,1239,1498,1673,70,5110,2983,2127,Clean environment; Recommended; Friendly; Follow-up care; Good bedside manner,Overcrowded; Painful; Unsafe; Poor hygiene; Ignored
